callsign,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,position_source,extra_col_0
TAP34RZ ,1733862225.0,1733862225,1.8447,43.9752,11574.78,False,227.59,55.59,0.0,,False,0
TAP74MS ,1733862313.0,1733862313,0.9715,48.7887,11582.4,False,215.64,38.51,0.33,,False,0
ACA612  ,1733862307.0,1733862307,-79.0269,43.7846,4564.38,False,189.42,75.21,11.38,,False,0
TAP765  ,1733862312.0,1733862312,1.2333,52.3915,11582.4,False,255.76,224.1,-0.33,,False,0
DAL1537 ,1733862035.0,1733862035,-88.8811,38.8716,7741.92,False,262.87,81.22,5.53,,False,0
N266GA  ,1733862313.0,1733862313,-85.7231,43.1367,9265.92,False,195.27,277.87,-9.43,,False,0
SWR72L  ,1733862312.0,1733862313,10.1878,47.8596,6705.6,False,172.69,249.78,-0.33,,False,0
TVF59JQ ,1733862312.0,1733862312,1.973,48.5974,1470.66,False,84.3,60.78,-1.3,,False,0
SCA35   ,1733862228.0,1733862229,-111.9597,33.512,1097.28,False,56.92,263.77,1.3,,False,0
TVF8337 ,1733862225.0,1733862225,4.0766,47.2748,9966.96,False,239.5,327.81,-9.43,,False,0
EZY47VR ,1733862102.0,1733862102,-8.3326,42.7469,11582.4,False,226.88,25.52,-0.33,,False,0
EJU59EC ,1733862313.0,1733862313,12.0882,49.6666,11269.98,False,227.13,182.73,-0.33,,False,0
UPS291  ,1733862312.0,1733862312,23.1781,59.8983,9105.9,False,228.78,241.82,2.93,,False,0
SWA1794 ,1733862236.0,1733862236,-82.8452,28.7611,6873.24,False,214.57,351.03,10.73,,False,0
DAL889  ,1733862310.0,1733862310,-122.1698,47.5302,3017.52,False,135.1,190.75,-8.13,,False,0
EZY72UH ,1733862313.0,1733862313,5.6992,50.8581,10965.18,False,264.27,290.87,0.0,,False,0
,1733862229.0,1733862229,-88.1974,32.9419,10363.2,False,184.97,227.48,0.0,,False,0
JST228  ,1733862118.0,1733862226,174.6547,-38.6847,10469.88,False,219.43,8.36,-10.08,,False,0
N259CK  ,1733862312.0,1733862312,-75.2433,40.1798,3924.3,False,150.05,35.65,0.0,,False,0
TAP082  ,1733862272.0,1733862272,-46.1373,-23.4919,4434.84,False,193.31,64.8,4.55,,False,0
SWR7LW  ,1733862312.0,1733862312,7.1588,43.7082,3337.56,False,160.51,335.98,13.98,,False,0
EJA372  ,1733862292.0,1733862307,-81.5146,36.7858,13106.4,False,161.64,238.54,0.0,,False,0
EJU354K ,1733862303.0,1733862303,1.1094,46.6119,9555.48,False,198.73,357.77,-4.55,,False,0
ENY3419 ,1733862100.0,1733862106,-70.5759,21.339,10363.2,False,218.81,299.28,-0.33,,False,0
N153SG  ,1733862307.0,1733862313,-87.1223,40.0015,12496.8,False,209.61,154.25,-0.33,,False,0
,1733862073.0,1733862073,-87.8703,47.454,11887.2,False,258.9,127.74,0.0,,False,0
,1733862243.0,1733862243,-111.356,37.2507,12131.04,False,184.71,260.38,-10.08,,False,0
AAL1057 ,1733862313.0,1733862313,-91.3613,43.342,10363.2,False,208.82,261.07,0.0,,False,0
ANZ104M ,1733862134.0,1733862134,175.1029,-37.8434,6332.22,False,133.82,358.24,-6.5,,False,0
,1733862226.0,1733862228,-112.1059,33.6899,457.2,False,43.27,108.0,-3.25,,False,0
ANZ013M ,1733862118.0,1733862118,176.8711,-39.2819,1318.26,False,110.1,89.2,-4.88,,False,0
JBU1191 ,1733862313.0,1733862313,-70.7489,41.8334,6225.54,False,188.1,204.39,8.45,,False,0
,1733862229.0,1733862250,-113.5507,34.4242,11277.6,False,262.58,72.2,0.0,,False,0
SLASH72 ,1733862088.0,1733862088,-90.9211,33.7122,609.6,False,82.23,259.18,3.25,,False,0
PGT702  ,1733862182.0,1733862182,45.3664,40.3541,10050.78,False,245.11,79.85,0.33,,False,0
,1733862272.0,1733862272,-73.4293,40.4428,5143.5,False,181.83,15.26,0.0,,False,0
UPS243  ,1733862312.0,1733862312,1.9388,40.8776,3093.72,False,153.72,69.02,0.33,,False,0
ETH731  ,1733862220.0,1733862240,18.055,48.9085,9380.22,False,135.04,195.47,-5.85,,False,0
TSVED   ,1733862313.0,1733862313,-122.7839,49.2526,358.14,False,57.26,238.59,-0.33,,False,0
PGT14WG ,1733862289.0,1733862305,28.2829,41.7299,8938.26,False,195.09,293.79,8.78,,False,0
PGT7DB  ,1733862293.0,1733862294,17.1993,48.7299,10363.2,False,245.77,302.26,-0.33,,False,0
EDV5409 ,1733862286.0,1733862286,-70.1643,43.5474,838.2,False,107.55,76.16,-0.33,,False,0
AAL2962 ,1733862115.0,1733862115,-93.2346,41.2691,4975.86,False,207.3,116.06,13.0,,False,0
DLH73K  ,1733862312.0,1733862312,2.4719,49.1683,10058.4,False,256.37,258.31,5.85,,False,0
,1733862304.0,1733862312,-118.1499,33.7016,533.4,False,39.29,313.94,-2.28,,False,0
ASA540  ,1733862160.0,1733862160,-120.1907,44.7816,10203.18,False,245.43,111.13,6.5,,False,0
DAL726  ,1733862311.0,1733862311,-83.8265,33.9693,6545.58,False,233.71,56.31,6.5,,False,0
,1733862282.0,1733862282,11.3948,48.4834,1996.44,False,153.01,187.34,1.63,,False,0
GLF41   ,1733862309.0,1733862310,-93.9594,33.3051,13716.0,False,300.63,86.08,-0.33,,False,0
DLH1560 ,1733862313.0,1733862313,10.8241,48.9377,9265.92,False,208.48,136.1,3.58,,False,0
N724RM  ,1733862280.0,1733862287,-96.5774,32.9077,1150.62,False,144.07,151.88,0.0,,False,0
JBU2023 ,1733862270.0,1733862270,-77.7678,38.1899,8915.4,False,187.27,220.21,8.45,,False,0
ACA196  ,1733862297.0,1733862297,-122.6827,48.908,5798.82,False,208.37,61.22,9.43,,False,0
DLH9EF  ,1733862313.0,1733862313,11.0182,48.9808,6705.6,False,208.16,316.6,0.0,,False,0
DLH884  ,1733862313.0,1733862313,12.9183,52.5131,10050.78,False,190.78,49.26,0.0,,False,0
,1733862229.0,1733862229,-112.8133,33.4012,1554.48,False,47.53,170.03,-0.98,,False,0
DLH64K  ,1733862281.0,1733862281,8.5282,49.959,746.76,False,103.53,177.15,7.8,,False,0
GJS4521 ,1733862164.0,1733862164,-87.755,41.9883,868.68,False,90.54,269.67,-4.88,,False,0
SWA3773 ,1733862308.0,1733862309,-81.3949,30.4841,11887.2,False,232.78,357.34,0.0,,False,0
CLX89AX ,1733862307.0,1733862313,11.466,49.2217,10378.44,False,285.86,279.53,-2.93,,False,0
DAL2673 ,1733862304.0,1733862304,-95.8392,30.459,5600.7,False,192.95,139.22,-3.9,,False,0
CLX4Z   ,1733862102.0,1733862104,18.683,46.0727,10363.2,False,258.48,309.27,0.0,,False,0
FFT1546 ,1733862287.0,1733862305,-83.8835,35.2116,11590.02,False,181.92,186.98,0.33,,False,0
N800RS  ,1733862312.0,1733862313,-79.1593,35.0719,12192.0,False,161.56,270.91,0.0,,False,0
DAL2091 ,1733862313.0,1733862313,-81.7377,41.4857,937.26,False,99.33,230.04,-4.55,,False,0
SWA2110 ,1733862313.0,1733862313,-82.2067,27.9582,5768.34,False,206.96,65.47,-9.1,,False,0
N2335U  ,1733862276.0,1733862276,-81.0699,29.2185,182.88,False,44.8,158.44,-2.6,,False,0
N102CE  ,1733862312.0,1733862312,-76.5875,39.8139,12192.0,False,170.35,241.5,0.33,,False,0
,1733862241.0,1733862241,16.3009,46.1491,10668.0,False,246.75,140.67,0.0,,False,0
,1733862117.0,1733862147,-0.568,51.9202,685.8,False,78.01,74.31,-4.88,,False,0
CLX83W  ,1733862064.0,1733862064,-114.0156,53.2489,10668.0,False,285.32,125.24,0.0,,False,0
AAL1698 ,1733862254.0,1733862287,-96.0351,33.1039,5501.64,False,249.47,67.19,3.9,,False,0
DHK525  ,1733862309.0,1733862310,-1.3439,52.8307,5173.98,False,177.97,111.89,-10.4,,False,0
FNK1    ,1733862313.0,1733862313,13.1398,50.4029,3352.8,False,78.62,120.26,0.0,,False,0
EDV5004 ,1733862270.0,1733862270,-75.7431,39.8732,9753.6,False,182.86,230.94,0.0,,False,0
AAL1094 ,1733862313.0,1733862313,-80.793,35.0565,3040.38,False,147.37,310.75,-0.33,,False,0
IGO1236 ,1733862061.0,1733862061,48.6817,29.1143,5745.48,False,235.0,126.54,8.45,,False,0
AAL1390 ,1733862310.0,1733862310,-92.8142,32.4449,10363.2,False,186.83,274.58,0.0,,False,0
CAL012  ,1733862269.0,1733862269,-116.653,47.8178,10668.0,False,264.93,97.14,0.0,,False,0
PDU53   ,1733862311.0,1733862312,-87.037,40.5222,518.16,False,36.06,317.89,0.33,,False,0
ETH645  ,1733862108.0,1733862116,84.6418,21.9979,10972.8,False,226.49,260.32,-0.33,,False,0
N56EL   ,1733862286.0,1733862310,-86.1097,35.6628,12192.0,False,211.85,300.18,-0.33,,False,0
CAL007  ,1733862311.0,1733862311,121.5201,25.2856,1554.48,False,104.6,235.22,-5.85,,False,0
CES2804 ,1733862242.0,1733862242,101.9789,16.6751,10668.0,False,239.4,21.82,0.0,,False,0
ZXP03   ,1733862303.0,1733862311,4.5018,52.1422,205.74,False,29.25,34.25,-0.33,,False,0
SWA3286 ,1733862312.0,1733862312,-87.7056,41.7521,464.82,False,65.14,313.4,-3.58,,False,0
ENY3593 ,1733862313.0,1733862313,-71.5566,42.5429,3474.72,False,172.85,105.36,-5.2,,False,0
,1733862229.0,1733862310,-87.3176,33.9281,9753.6,False,192.95,282.63,-0.33,,False,0
EZY14BC ,1733862311.0,1733862312,5.3999,48.2611,11582.4,False,243.61,308.23,0.33,,False,0
TVS37Z  ,1733862306.0,1733862306,2.4816,44.2576,11582.4,False,237.49,53.9,0.0,,False,0
TVS4108 ,1733862313.0,1733862313,11.1433,45.4939,11582.4,False,241.54,39.56,0.0,,False,0
DAL376  ,1733862312.0,1733862312,-83.4666,34.3586,6286.5,False,157.58,229.24,-9.43,,False,0
